(B-A)/100 ;C/1000
(mA);(uA)
;
-0,03998523;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03998523;0,06151575
-0,03998523;0,06151575
-0,03998523;0,06151575
-0,03998523;0,06151575
-0,03998523;0,06151575
-0,03998523;0,06151575
-0,03998523;0,06151575
-0,04152313;0,06151575
-0,03998523;0,06151575
-0,03998523;0,06151575
-0,04306102;0,06151575
-0,03998523;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04459891;0,06151575
-0,0461368;0,06151575
-0,0461368;0,06151575
-0,04306102;0,06151575
-0,04306102;0,06151575
-0,04306102;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04306102;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04613681;0,06151575
-0,04613681;0,06151575
-0,04613681;0,06151575
-0,04613681;0,06151575
-0,04613681;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04459891;0,06151575
-0,04306102;0,06151575
-0,04306102;0,06151575
-0,04306102;0,06151575
-0,04306102;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,04152313;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,03844734;0,06151575
-0,04306102;0,06151575
-0,04306102;0,06151575
-0,04152313;0,1230315
-0,04306102;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04306102;0,1230315
-0,04306102;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,04459891;0,1230315
-0,0461368;0,1230315
-0,0461368;0,1230315
-0,04459891;0,1230315
-0,04613681;0,1845472
-0,04613681;0,1845472
-0,04613681;0,1230315
-0,04613681;0,1230315
-0,04613681;0,1230315
-0,04613681;0,1230315
-0,04613681;0,1230315
-0,04613681;0,1230315
-0,0476747;0,1230315
-0,0476747;0,1230315
-0,0476747;0,1230315
-0,04613681;0,1230315
-0,04613681;0,1230315
-0,04613681;0,1230315
-0,04306102;0,1230315
-0,04306102;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,03998523;0,1230315
-0,03998523;0,1230315
-0,03998523;0,1230315
-0,03998523;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04306102;0,1230315
-0,04306102;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,04152313;0,1230315
-0,03998523;0,1230315
-0,03998523;0,1230315
-0,03998523;0,1230315
-0,03998523;0,1230315
-0,03998523;0,1230315
-0,03844734;0,1230315
-0,03537155;0,1230315
-0,03383366;0,1230315
-0,03383366;0,1230315
-0,03229577;0,1230315
-0,03229577;0,1230315
-0,03229577;0,1230315
-0,03075787;0,1230315
-0,03075787;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,03075787;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0230684;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,0246063;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,01845472;0,1230315
-0,01845472;0,1230315
-0,01845472;0,1230315
-0,01845472;0,1230315
-0,01845472;0,1230315
-0,01845472;0,1230315
-0,01845472;0,1230315
-0,01845472;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,02614419;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0246063;0,1230315
-0,02768208;0,1230315
-0,02921998;0,1230315
-0,02921998;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,02153051;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,0246063;0,1230315
-0,02614419;0,1230315
-0,02768208;0,06151575
-0,02768208;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,02768208;0,06151575
-0,02768208;0,06151575
-0,02768208;0,06151575
-0,02768208;0,06151575
-0,02768208;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,02614419;0,06151575
-0,0246063;0,06151575
-0,0246063;0,06151575
-0,02614419;0,06151575
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,02614419;0
-0,02614419;0
-0,02614419;0
-0,02614419;0
-0,0246063;0
-0,02614419;0
-0,02614419;0
-0,02614419;0
-0,02614419;0
-0,02614419;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,02614419;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,02153051;0
-0,0246063;0
-0,02614419;0
-0,02614419;-0,06151575
-0,02614419;-0,06151575
-0,0246063;-0,06151575
-0,02614419;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02921998;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,06151575
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03229576;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03229576;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03229576;-0,1230315
-0,03229576;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03383366;-0,1230315
-0,03075787;-0,1230315
-0,03229576;-0,1230315
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03075787;-0,06151575
-0,03075787;-0,06151575
-0,03075787;-0,06151575
-0,03075787;-0,06151575
-0,03075787;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,03075787;-0,06151575
-0,03075787;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02768208;-0,06151575
-0,02614419;-0,06151575
-0,02614419;-0,06151575
-0,02614419;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,03075787;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03229576;-0,06151575
-0,03075787;-0,06151575
-0,03075787;-0,06151575
-0,02921998;-0,06151575
-0,02921998;-0,06151575
-0,02921998;0
-0,02921998;0
-0,03075787;0
-0,02921998;0
-0,02921998;0
-0,02921998;0
-0,02768208;0
-0,02768208;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0230684;0
-0,0230684;0
-0,0246063;0
-0,0246063;0
-0,02614419;0
-0,02614419;0
-0,02768208;0
-0,02768208;0
-0,02614419;0
-0,0246063;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,02153051;0
-0,0230684;0
-0,0230684;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,0246063;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,01999262;0
-0,01999262;0
-0,01845472;0
-0,01845472;0
-0,01691683;0
-0,01691683;0
-0,01691683;0
-0,01691683;0
-0,01537894;0
-0,01537894;0
-0,01537894;0
-0,01537894;0
-0,01537894;0
-0,01537894;0
-0,01691683;0
-0,01537894;0
-0,01537894;0
-0,01537894;0
-0,01384104;0
-0,01384104;0
-0,01384104;0
-0,01384104;0
-0,01384104;0
-0,01384104;0
-0,01384104;0
-0,01384104;0
-0,01537894;0
-0,01537894;0
-0,01691683;0
-0,01999262;0
-0,01999262;0
-0,01999262;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,01999262;0
-0,01999262;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,0230684;0
-0,02153051;0
-0,02153051;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,0230684;0
-0,02153051;0
-0,02153051;0
-0,0230684;0
-0,02153051;0
-0,02153051;0
-0,02153051;0
-0,01999262;0
-0,01999262;0
-0,01999262;0
-0,01999262;0
-0,02153051;0
-0,01999262;0
-0,01845472;0
-0,01845472;0,06151575
-0,01845472;0,06151575
-0,01999262;0,06151575
-0,01845472;0,06151575
-0,01691683;0,06151575
-0,01691683;0,06151575
-0,01691683;0,06151575
-0,01845472;0,06151575
-0,01999262;0,06151575
-0,01999262;0,06151575
-0,01999262;0,06151575
-0,01999262;0,06151575
-0,02153051;0,06151575
-0,01999262;0,06151575
-0,01845472;0,06151575
-0,01845472;0,06151575
-0,01691683;0,06151575
-0,01691683;0,06151575
-0,01691683;0,06151575
-0,01691683;0,06151575
-0,01691683;0,06151575
-0,01691683;0,06151575
-0,01845472;0,06151575
-0,01845472;0,06151575
-0,01845472;0,06151575
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,01999262;0,1230315
-0,02153051;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0230684;0,1230315
-0,0246063;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02614419;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,0246063;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02614419;0,1230315
-0,02768208;0,1230315
-0,02768208;0,1230315
-0,02614419;0,1230315
-0,02768208;0,06151575
-0,02768208;0,06151575
-0,02768208;0,06151575
-0,02921998;0,06151575
-0,02921998;0,06151575
-0,02921998;0,06151575
-0,03075787;0,06151575
-0,02921998;0,06151575
-0,02921998;0,06151575
-0,03075787;0,06151575
-0,03075787;0,06151575
-0,02921998;0,06151575
-0,02921998;0,06151575
-0,02921998;0,06151575
-0,02921998;0,06151575
-0,02921998;0,06151575
